PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
4.1	0.4	0		0	0	20		-0.06	-1.38	0		8	-82	0		7.04	-67.31	0		0.96	-14.69	0
4.1	0.4	0		0	0	40		-0.06	-2.25	0		16	-164	0		9.65	-109.82	0		6.35	-54.18	0
4.1	0.4	0		0	0	40		-0.06	-2.75	-0.12		16	-164	0		9.79	-135.39	0		6.21	-28.61	0
4.1	0.4	0		0	0	40		-0.19	-2.81	-0.12		16	-164	0		15.87	-139.44	0		0.13	-24.56	0
4.1	0.4	0		0	0	60		-0.19	-4.19	-0.12		24	-246	0		19.97	-206.24	0		4.03	-39.76	0
4.1	0.4	0		0	0	60		-0.25	-4.38	0.25		24	-246	0		27.52	-212.03	0		-3.52	-33.97	0
4.1	0.4	0		0	0	60		-0.25	-4.44	-0.19		24	-246	0		22.98	-219.53	0		1.02	-26.47	0
4.1	0.4	0		0	0	80		-0.31	-5.5	-0.19		32	-328	0		29.09	-271.66	0		2.91	-56.34	0
4.1	0.4	0		0	0	80		-0.06	-5.69	-0.19		32	-328	0		17.88	-278.75	0		14.12	-49.25	0
4.1	0.4	0		0	0	80		-0.31	-5.69	-0.19		32	-328	0		29.65	-280.77	0		2.35	-47.23	0
4.1	0.4	0		0	0	100		-0.38	-6.75	-0.25		40	-410	0		35.09	-333.54	0		4.91	-76.46	0
4.1	0.4	0		0	0	100		-0.38	-7.81	-0.25		40	-410	0		38.26	-385.16	0		1.74	-24.84	0
4.1	0.4	0		0	0	100		-0.38	-7.56	-0.25		40	-410	0		37.51	-373.01	0		2.49	-36.99	0
4.1	0.4	0		0	0	120		-0.56	-8.44	-0.44		48	-492	0		46.93	-418.95	0		1.07	-73.05	0
4.1	0.4	0		0	0	120		-0.5	-8.5	-0.62		48	-492	0		42.15	-423.4	0		5.85	-68.6	0
4.1	0.4	0		0	0	120		-0.38	-8.88	-0.25		48	-492	0		41.43	-436.78	0		6.57	-55.22	0
4.1	0.4	0		0	0	140		-0.81	-10.31	-0.62		56	-574	0		62.27	-513.98	0		-6.27	-60.02	0
4.1	0.4	0		0	0	140		-0.62	-10.56	-0.38		56	-574	0		56.88	-522.07	0		-0.88	-51.93	0
4.1	0.4	0		0	0	140		-0.94	-10.44	-0.5		56	-574	0		69.88	-519.79	0		-13.88	-54.21	0
4.1	0.4	0		0	0	160		-0.75	-11.88	-0.56		64	-656	0		64.66	-588.76	0		-0.66	-67.24	0
4.1	0.4	0		0	0	160		-0.81	-12.44	-0.75		64	-656	0		67.26	-618.5	0		-3.26	-37.5	0
4.1	0.4	0		0	0	160		-1	-12.31	-0.56		64	-656	0		77.74	-612.03	0		-13.74	-43.97	0
4.1	0.1	0		0	0	20		0.06	-1.31	-0.06		2	-82	0		0.29	-63.9	0		1.71	-18.1	0
4.1	0.1	0		0	0	20		0.06	-1.56	-0.06		2	-82	0		1.04	-76.05	0		0.96	-5.95	0
4.1	0.1	0		0	0	20		0.06	-1.38	0		2	-82	0		1.16	-66.3	0		0.84	-15.7	0
4.1	0.1	0		0	0	40		0.19	-2.56	-0.06		4	-164	0		-1.87	-123.63	0		5.87	-40.37	0
4.1	0.1	0		0	0	40		0.06	-2.56	-0.06		4	-164	0		4.02	-124.64	0		-0.02	-39.36	0
4.1	0.1	0		0	0	40		0.06	-2.75	-0.06		4	-164	0		4.58	-133.75	0		-0.58	-30.25	0
4.1	0.1	0		0	0	60		0.19	-4.38	-0.12		6	-246	0		2.86	-212.33	0		3.14	-33.67	0
4.1	0.1	0		0	0	60		0.19	-4.06	-0.12		6	-246	0		1.93	-197.14	0		4.07	-48.86	0
4.1	0.1	0		0	0	60		0.19	-4.19	-0.12		6	-246	0		2.3	-203.22	0		3.7	-42.78	0
4.1	0.1	0		0	0	80		0.25	-6.19	-0.19		8	-328	0		4.65	-300.52	0		3.35	-27.48	0
4.1	0.1	0		0	0	80		0.19	-5.81	-0.19		8	-328	0		6.47	-282.81	0		1.53	-45.19	0
4.1	0.1	0		0	0	80		0.25	-6.12	-0.25		8	-328	0		3.79	-298.13	0		4.21	-29.87	0
4.1	0.1	0		0	0	100		0.31	-7.38	-0.31		10	-410	0		3.9	-358.99	0		6.1	-51.01	0
4.1	0.1	0		0	0	100		0.31	-7.25	-0.31		10	-410	0		3.52	-352.92	0		6.48	-57.08	0
4.1	0.1	0		0	0	100		0.38	-7.44	-0.31		10	-410	0		1.14	-361.52	0		8.86	-48.48	0
4.1	0.1	0		0	0	120		0.31	-9	-0.38		12	-492	0		8.07	-438.58	0		3.93	-53.42	0
4.1	0.1	0		0	0	120		0.31	-9	-0.25		12	-492	0		9.42	-437.31	0		2.58	-54.69	0
4.1	0.1	0		0	0	120		0.31	-8.94	-0.31		12	-492	0		8.55	-434.91	0		3.45	-57.09	0
4.1	0.1	0		0	0	140		0.38	-10.56	-0.38		14	-574	0		9.78	-513.99	0		4.22	-60.01	0
4.1	0.1	0		0	0	140		0.31	-10.81	-0.38		14	-574	0		13.47	-526.65	0		0.53	-47.35	0
4.1	0.1	0		0	0	140		0.44	-10.75	-0.69		14	-574	0		4.02	-525.79	0		9.98	-48.21	0
4.1	0.1	0		0	0	160		0.38	-12.12	-1		16	-656	0		7.69	-596.29	0		8.31	-59.71	0
4.1	0.1	0		0	0	160		0.38	-12.25	-1.06		16	-656	0		7.39	-603	0		8.61	-53	0
4.1	0.1	0		0	0	160		0.5	-12.25	-1.06		16	-656	0		1.5	-601.99	0		14.5	-54.01	0
4.1	0.1	0		0	0	180		0.44	-14.25	-0.62		18	-738	0		15.13	-695.2	0		2.87	-42.8	0
4.1	0.1	0		0	0	180		0.56	-13.94	-0.69		18	-738	0		7.64	-679.65	0		10.36	-58.35	0
4.1	0.1	0		0	0	180		0.38	-13.81	-0.56		18	-738	0		17.45	-673.81	0		0.55	-64.19	0
4.1	-0.2	0		0	0	20		0.06	-1.19	-0.06		-4	-82	0		-0.08	-57.83	0		-3.92	-24.17	0
4.1	-0.2	0		0	0	20		0.19	-1.44	-0.06		-4	-82	0		-5.22	-68.97	0		1.22	-13.03	0
4.1	-0.2	0		0	0	20		0.12	-1.31	0		-4	-82	0		-1.97	-62.76	0		-2.03	-19.24	0
4.1	-0.2	0		0	0	40		0.31	-2.94	-0.06		-8	-164	0		-6.64	-140.84	0		-1.36	-23.16	0
4.1	-0.2	0		0	0	40		0.19	-2.25	-0.12		-8	-164	0		-3.47	-109.08	0		-4.53	-54.92	0
4.1	-0.2	0		0	0	40		0.31	-3.19	-0.12		-8	-164	0		-6.57	-153.62	0		-1.43	-10.38	0
4.1	-0.2	0		0	0	60		0.5	-4.44	-0.25		-12	-246	0		-13.02	-214.12	0		1.02	-31.88	0
4.1	-0.2	0		0	0	60		0.5	-4.5	-0.19		-12	-246	0		-12.16	-216.52	0		0.16	-29.48	0
4.1	-0.2	0		0	0	60		0.62	-4.19	-0.12		-12	-246	0		-18.3	-199.69	0		6.3	-46.31	0
4.1	-0.2	0		0	0	80		0.69	-5.19	-0.12		-16	-328	0		-18.27	-247.77	0		2.27	-80.23	0
4.1	-0.2	0		0	0	80		0.62	-6.12	-0.19		-16	-328	0		-13.2	-294.46	0		-2.8	-33.54	0
4.1	-0.2	0		0	0	80		0.62	-6	-0.12		-16	-328	0		-12.9	-287.75	0		-3.1	-40.25	0
